DATE,DESCRIPTION,CATEGORY,INCOME,EXPENSE,ACCOUNT,BALANCE
2024-10-23,Ryde Council - monthly retainer,Maintenance contracts,4354.17,,Business transaction,175809.69
2024-10-24,Ampol fleet fuel,Vehicle & fuel,,727.19,Business transaction,175082.5
2024-10-26,Dunbar Family Trust - monthly retainer,Maintenance contracts,4354.17,,Business transaction,179436.67
2024-10-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,178116.67
2024-10-28,Payroll fortnight B,Payroll,,15863.2,Business transaction,162253.47
2024-10-30,Owner drawings,Owner drawings,,7000,Business transaction,155253.47
2024-11-01,Northshore Dental - monthly retainer,Maintenance contracts,4156.42,,Business transaction,159409.89
2024-11-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,153209.89
2024-11-02,Northshore Dental - invoice 1090,Service revenue,3385.18,,Business transaction,156595.07
2024-11-02,Reece Plumbing,Materials,,3830.33,Business transaction,152764.74
2024-11-03,Wattle St body corporate - invoice 1094,Service revenue,1324.75,,Business transaction,154089.49
2024-11-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,152239.49
2024-11-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,151759.49
2024-11-06,Middy's Electrical,Materials,,6323.09,Business transaction,145436.4
2024-11-06,Ampol fleet fuel,Vehicle & fuel,,786.92,Business transaction,144649.48
2024-11-08,Harbourview Apartments - invoice 1081,Installation revenue,4022.28,,Business transaction,148671.76
2024-11-08,St Leonards Physio - invoice 1086,Service revenue,2506.59,,Business transaction,151178.35
2024-11-08,Google Ads,Marketing,,1520.3,Business transaction,149658.05
2024-11-09,Parramatta Bakehouse - invoice 1100,Installation revenue,8166.84,,Business transaction,157824.89
2024-11-09,Marrickville Brewery - invoice 1104,Service revenue,3541.07,,Business transaction,161365.96
2024-11-10,Northshore Dental - invoice 1085,Service revenue,2286.18,,Business transaction,163652.14
2024-11-10,Bunnings Trade,Materials,,4568.9,Business transaction,159083.24
2024-11-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,158823.24
2024-11-12,Electricity & water,Utilities,,620,Business transaction,158203.24
2024-11-13,St Leonards Physio - invoice 1082,Service revenue,1914.68,,Business transaction,160117.92
2024-11-13,Parramatta Bakehouse - invoice 1084,Installation revenue,6345.63,,Business transaction,166463.55
2024-11-13,Harbourview Apartments - invoice 1087,Installation revenue,7153.45,,Business transaction,173617
2024-11-13,St Leonards Physio - monthly retainer,Maintenance contracts,4156.42,,Business transaction,177773.42
2024-11-14,Tradelink,Materials,,3786.32,Business transaction,173987.1
2024-11-14,Payroll fortnight A,Payroll,,15926.4,Business transaction,158060.7
2024-11-15,Marrickville Brewery - invoice 1105,Service revenue,2049.52,,Business transaction,160110.22
2024-11-15,Subcontractor - refrigeration,Subcontractors,,5758.42,Business transaction,154351.8
2024-11-15,Ampol fleet fuel,Vehicle & fuel,,1024.82,Business transaction,153326.98
2024-11-16,Wattle St body corporate - invoice 1091,Service revenue,3055.7,,Business transaction,156382.68
2024-11-17,Office supplies & phone,Office & admin,,488.95,Business transaction,155893.73
2024-11-18,Lawrence & Hanson,Materials,,5101.37,Business transaction,150792.36
2024-11-19,St Leonards Physio - invoice 1095,Service revenue,2970.84,,Business transaction,153763.2
2024-11-19,Marrickville Brewery - invoice 1103,Service revenue,2858.38,,Business transaction,156621.58
2024-11-20,St Leonards Physio - invoice 1101,Installation revenue,6544.66,,Business transaction,163166.24
2024-11-20,Harbourview Apartments - invoice 1106,Installation revenue,8527.31,,Business transaction,171693.55
2024-11-22,Harbourview Apartments - invoice 1083,Installation revenue,8064.93,,Business transaction,179758.48
2024-11-22,Ryde Council - monthly retainer,Maintenance contracts,4156.42,,Business transaction,183914.9
2024-11-22,Actrol HVAC,Materials,,5620.25,Business transaction,178294.65
2024-11-22,Bookkeeper,Professional fees,,900,Business transaction,177394.65
2024-11-23,St Leonards Physio - invoice 1093,Installation revenue,6538.93,,Business transaction,183933.58
2024-11-24,St Leonards Physio - invoice 1097,Service revenue,1895.69,,Business transaction,185829.27
2024-11-24,Ampol fleet fuel,Vehicle & fuel,,1044.92,Business transaction,184784.35
2024-11-25,Parramatta Bakehouse - invoice 1080,Installation revenue,9077.25,,Business transaction,193861.6
2024-11-27,Wattle St body corporate - invoice 1088,Service revenue,1518.97,,Business transaction,195380.57
2024-11-27,Dunbar Family Trust - invoice 1098,Service revenue,3724.97,,Business transaction,199105.54
2024-11-27,Ryde Council - invoice 1099,Installation revenue,8479.19,,Business transaction,207584.73
2024-11-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,206264.73
2024-11-28,Kings Cross Hotel - invoice 1102,Installation revenue,9146.02,,Business transaction,215410.75
2024-11-28,Payroll fortnight B,Payroll,,15926.4,Business transaction,199484.35
2024-11-28,BAS payment (GST net),GST/BAS,,3442.69,Business transaction,196041.66
2024-11-30,Owner drawings,Owner drawings,,7000,Business transaction,189041.66
2024-12-01,Dunbar Family Trust - invoice 1124,Installation revenue,3467.11,,Business transaction,192508.77
2024-12-01,Kings Cross Hotel - invoice 1133,Service revenue,2764.71,,Business transaction,195273.48
2024-12-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,189073.48
2024-12-02,Reece Plumbing,Materials,,5630.57,Business transaction,183442.91
2024-12-03,Kings Cross Hotel - invoice 1135,Installation revenue,3783.49,,Business transaction,187226.4
2024-12-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,185376.4
2024-12-04,Kings Cross Hotel - invoice 1129,Service revenue,2613.93,,Business transaction,187990.33
2024-12-04,Wattle St body corporate - invoice 1130,Installation revenue,8411.29,,Business transaction,196401.62
2024-12-05,Wattle St body corporate - invoice 1122,Installation revenue,3221.45,,Business transaction,199623.07
2024-12-05,Harbourview Apartments - monthly retainer,Maintenance contracts,3952.82,,Business transaction,203575.89
2024-12-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,203095.89
2024-12-06,Kings Cross Hotel - invoice 1134,Installation revenue,5193.29,,Business transaction,208289.18
2024-12-06,Kings Cross Hotel - invoice 1138,Installation revenue,6964.58,,Business transaction,215253.76
2024-12-06,Middy's Electrical,Materials,,2942.51,Business transaction,212311.25
2024-12-06,Ampol fleet fuel,Vehicle & fuel,,894.43,Business transaction,211416.82
2024-12-07,Parramatta Bakehouse - invoice 1127,Service revenue,2706.94,,Business transaction,214123.76
2024-12-07,Dunbar Family Trust - invoice 1131,Service revenue,1951.43,,Business transaction,216075.19
2024-12-08,Google Ads,Marketing,,1466.99,Business transaction,214608.2
2024-12-10,Kings Cross Hotel - invoice 1142,Service revenue,1178.11,,Business transaction,215786.31
2024-12-10,Bunnings Trade,Materials,,3114.28,Business transaction,212672.03
2024-12-10,Vehicle servicing,Vehicle & fuel,,1450,Business transaction,211222.03
2024-12-12,Electricity & water,Utilities,,582.8,Business transaction,210639.23
2024-12-14,Tradelink,Materials,,6131.22,Business transaction,204508.01
2024-12-14,Payroll fortnight A,Payroll,,15989.6,Business transaction,188518.41
2024-12-15,Harbourview Apartments - invoice 1144,Service revenue,2747.62,,Business transaction,191266.03
2024-12-15,Subcontractor - refrigeration,Subcontractors,,4816.31,Business transaction,186449.72
2024-12-15,Ampol fleet fuel,Vehicle & fuel,,962.74,Business transaction,185486.98
2024-12-17,Marrickville Brewery - monthly retainer,Maintenance contracts,3952.82,,Business transaction,189439.8
2024-12-17,Office supplies & phone,Office & admin,,575.81,Business transaction,188863.99
2024-12-18,Kings Cross Hotel - invoice 1121,Service revenue,2220.91,,Business transaction,191084.9
2024-12-18,Lawrence & Hanson,Materials,,3378.91,Business transaction,187705.99
2024-12-19,Ryde Council - invoice 1139,Service revenue,1409.84,,Business transaction,189115.83
2024-12-21,St Leonards Physio - invoice 1128,Service revenue,1739.58,,Business transaction,190855.41
2024-12-22,Actrol HVAC,Materials,,4292.18,Business transaction,186563.23
2024-12-22,Bookkeeper,Professional fees,,900,Business transaction,185663.23
2024-12-23,Parramatta Bakehouse - invoice 1136,Service revenue,3347.69,,Business transaction,189010.92
2024-12-24,Marrickville Brewery - invoice 1123,Service revenue,2043.23,,Business transaction,191054.15
2024-12-24,Ryde Council - invoice 1125,Installation revenue,4563.56,,Business transaction,195617.71
2024-12-24,Ampol fleet fuel,Vehicle & fuel,,777.01,Business transaction,194840.7
2024-12-25,Northshore Dental - monthly retainer,Maintenance contracts,3952.82,,Business transaction,198793.52
2024-12-25,Parramatta Bakehouse - invoice 1143,Installation revenue,4453.06,,Business transaction,203246.58
2024-12-26,Ryde Council - invoice 1120,Service revenue,2371.44,,Business transaction,205618.02
2024-12-26,St Leonards Physio - invoice 1140,Installation revenue,4182.07,,Business transaction,209800.09
2024-12-27,St Leonards Physio - invoice 1141,Installation revenue,3260.18,,Business transaction,213060.27
2024-12-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,211740.27
2024-12-28,Payroll fortnight B,Payroll,,15989.6,Business transaction,195750.67
2024-12-30,Owner drawings,Owner drawings,,7000,Business transaction,188750.67
2025-01-01,Parramatta Bakehouse - invoice 1179,Service revenue,3539.74,,Business transaction,192290.41
2025-01-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,186090.41
2025-01-02,Ryde Council - invoice 1163,Service revenue,2297.14,,Business transaction,188387.55
2025-01-02,St Leonards Physio - invoice 1174,Service revenue,3330.2,,Business transaction,191717.75
2025-01-02,Reece Plumbing,Materials,,5393.91,Business transaction,186323.84
2025-01-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,184473.84
2025-01-04,Dunbar Family Trust - invoice 1183,Installation revenue,3146.94,,Business transaction,187620.78
2025-01-05,Northshore Dental - invoice 1182,Installation revenue,4291.29,,Business transaction,191912.07
2025-01-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,191432.07
2025-01-06,Middy's Electrical,Materials,,4679.74,Business transaction,186752.33
2025-01-06,Ampol fleet fuel,Vehicle & fuel,,746.84,Business transaction,186005.49
2025-01-08,Parramatta Bakehouse - invoice 1161,Service revenue,2249.39,,Business transaction,188254.88
2025-01-08,Ryde Council - monthly retainer,Maintenance contracts,3811.76,,Business transaction,192066.64
2025-01-08,St Leonards Physio - invoice 1186,Installation revenue,7863.37,,Business transaction,199930.01
2025-01-08,Google Ads,Marketing,,1452.95,Business transaction,198477.06
2025-01-10,Bunnings Trade,Materials,,3608.83,Business transaction,194868.23
2025-01-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,194608.23
2025-01-11,Parramatta Bakehouse - invoice 1162,Service revenue,3206.18,,Business transaction,197814.41
2025-01-11,Kings Cross Hotel - invoice 1168,Installation revenue,3906.48,,Business transaction,201720.89
2025-01-12,Electricity & water,Utilities,,555.57,Business transaction,201165.32
2025-01-13,Wattle St body corporate - monthly retainer,Maintenance contracts,3811.76,,Business transaction,204977.08
2025-01-13,Parramatta Bakehouse - invoice 1171,Installation revenue,5688.6,,Business transaction,210665.68
2025-01-13,Chatswood Childcare - invoice 1181,Service revenue,3152.55,,Business transaction,213818.23
2025-01-14,Parramatta Bakehouse - invoice 1166,Service revenue,2318.69,,Business transaction,216136.92
2025-01-14,Northshore Dental - monthly retainer,Maintenance contracts,3811.76,,Business transaction,219948.68
2025-01-14,Tradelink,Materials,,4115.38,Business transaction,215833.3
2025-01-14,Payroll fortnight A,Payroll,,16052.8,Business transaction,199780.5
2025-01-15,Kings Cross Hotel - invoice 1160,Service revenue,1537.09,,Business transaction,201317.59
2025-01-15,Subcontractor - refrigeration,Subcontractors,,3712.92,Business transaction,197604.67
2025-01-15,Ampol fleet fuel,Vehicle & fuel,,951.88,Business transaction,196652.79
2025-01-16,Ryde Council - invoice 1175,Service revenue,2749.27,,Business transaction,199402.06
2025-01-17,St Leonards Physio - invoice 1165,Installation revenue,3166.19,,Business transaction,202568.25
2025-01-17,Office supplies & phone,Office & admin,,466.75,Business transaction,202101.5
2025-01-18,Chatswood Childcare - invoice 1184,Installation revenue,4998.78,,Business transaction,207100.28
2025-01-18,Lawrence & Hanson,Materials,,4334.73,Business transaction,202765.55
2025-01-19,Chatswood Childcare - monthly retainer,Maintenance contracts,3811.76,,Business transaction,206577.31
2025-01-20,Wattle St body corporate - invoice 1167,Installation revenue,2952.01,,Business transaction,209529.32
2025-01-20,Kings Cross Hotel - monthly retainer,Maintenance contracts,3811.76,,Business transaction,213341.08
2025-01-21,St Leonards Physio - invoice 1172,Installation revenue,3552.55,,Business transaction,216893.63
2025-01-21,Wattle St body corporate - invoice 1185,Service revenue,3030.48,,Business transaction,219924.11
2025-01-22,Ryde Council - invoice 1164,Service revenue,3306.44,,Business transaction,223230.55
2025-01-22,Actrol HVAC,Materials,,5915.34,Business transaction,217315.21
2025-01-22,Bookkeeper,Professional fees,,900,Business transaction,216415.21
2025-01-23,Harbourview Apartments - monthly retainer,Maintenance contracts,3811.76,,Business transaction,220226.97
2025-01-24,Parramatta Bakehouse - monthly retainer,Maintenance contracts,3811.76,,Business transaction,224038.73
2025-01-24,Ampol fleet fuel,Vehicle & fuel,,1006.37,Business transaction,223032.36
2025-01-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,221712.36
2025-01-28,Marrickville Brewery - monthly retainer,Maintenance contracts,3811.76,,Business transaction,225524.12
2025-01-28,Payroll fortnight B,Payroll,,16052.8,Business transaction,209471.32
2025-01-30,Owner drawings,Owner drawings,,7000,Business transaction,202471.32
2025-02-01,Ryde Council - invoice 1216,Installation revenue,8382.47,,Business transaction,210853.79
2025-02-01,Kings Cross Hotel - invoice 1225,Service revenue,1446.52,,Business transaction,212300.31
2025-02-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,206100.31
2025-02-02,Kings Cross Hotel - invoice 1205,Service revenue,2332.18,,Business transaction,208432.49
2025-02-02,Reece Plumbing,Materials,,3623.24,Business transaction,204809.25
2025-02-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,202959.25
2025-02-04,Kings Cross Hotel - invoice 1210,Installation revenue,3944.92,,Business transaction,206904.17
2025-02-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,206424.17
2025-02-06,Ryde Council - monthly retainer,Maintenance contracts,3786.24,,Business transaction,210210.41
2025-02-06,Middy's Electrical,Materials,,2587.95,Business transaction,207622.46
2025-02-06,Ampol fleet fuel,Vehicle & fuel,,769.17,Business transaction,206853.29
2025-02-08,Chatswood Childcare - invoice 1217,Installation revenue,8454.99,,Business transaction,215308.28
2025-02-08,Google Ads,Marketing,,1511.84,Business transaction,213796.44
2025-02-09,Chatswood Childcare - invoice 1215,Service revenue,1390.18,,Business transaction,215186.62
2025-02-09,St Leonards Physio - invoice 1218,Service revenue,3396.82,,Business transaction,218583.44
2025-02-09,Chatswood Childcare - invoice 1219,Service revenue,1557.13,,Business transaction,220140.57
2025-02-10,Ryde Council - invoice 1212,Service revenue,2514.91,,Business transaction,222655.48
2025-02-10,Bunnings Trade,Materials,,2945.22,Business transaction,219710.26
2025-02-10,Vehicle servicing,Vehicle & fuel,,260,Business transaction,219450.26
2025-02-12,Marrickville Brewery - invoice 1206,Installation revenue,2849.02,,Business transaction,222299.28
2025-02-12,Electricity & water,Utilities,,545.6,Business transaction,221753.68
2025-02-13,Ryde Council - monthly retainer,Maintenance contracts,3786.24,,Business transaction,225539.92
2025-02-14,Tradelink,Materials,,4708.55,Business transaction,220831.37
2025-02-14,Payroll fortnight A,Payroll,,16116,Business transaction,204715.37
2025-02-15,Chatswood Childcare - invoice 1214,Service revenue,3304.67,,Business transaction,208020.04
2025-02-15,Northshore Dental - invoice 1220,Installation revenue,4633.74,,Business transaction,212653.78
2025-02-15,Subcontractor - refrigeration,Subcontractors,,4477.87,Business transaction,208175.91
2025-02-15,Ampol fleet fuel,Vehicle & fuel,,975.02,Business transaction,207200.89
2025-02-16,Ryde Council - invoice 1202,Installation revenue,6058.53,,Business transaction,213259.42
2025-02-16,Marrickville Brewery - invoice 1221,Service revenue,1454.52,,Business transaction,214713.94
2025-02-17,Harbourview Apartments - invoice 1200,Installation revenue,5065.48,,Business transaction,219779.42
2025-02-17,Marrickville Brewery - invoice 1208,Service revenue,2590.2,,Business transaction,222369.62
2025-02-17,Parramatta Bakehouse - invoice 1209,Installation revenue,5197.27,,Business transaction,227566.89
2025-02-17,Office supplies & phone,Office & admin,,435.76,Business transaction,227131.13
2025-02-18,Lawrence & Hanson,Materials,,3470.29,Business transaction,223660.84
2025-02-19,Ryde Council - invoice 1224,Service revenue,2494.03,,Business transaction,226154.87
2025-02-20,Term deposit interest,Interest income,678.21,,Business transaction,226833.08
2025-02-21,Ryde Council - invoice 1207,Service revenue,1510.08,,Business transaction,228343.16
2025-02-22,Wattle St body corporate - monthly retainer,Maintenance contracts,3786.24,,Business transaction,232129.4
2025-02-22,Actrol HVAC,Materials,,2668.88,Business transaction,229460.52
2025-02-22,Bookkeeper,Professional fees,,900,Business transaction,228560.52
2025-02-24,Ampol fleet fuel,Vehicle & fuel,,797.47,Business transaction,227763.05
2025-02-25,Ryde Council - monthly retainer,Maintenance contracts,3786.24,,Business transaction,231549.29
2025-02-25,St Leonards Physio - invoice 1222,Installation revenue,5909.55,,Business transaction,237458.84
2025-02-26,Wattle St body corporate - invoice 1204,Service revenue,1250.88,,Business transaction,238709.72
2025-02-26,Chatswood Childcare - invoice 1211,Installation revenue,4440.9,,Business transaction,243150.62
2025-02-27,Equipment finance - Ute loan,Loan repayment,,1320,Business transaction,241830.62
2025-02-28,Payroll fortnight B,Payroll,,16116,Business transaction,225714.62
2025-02-28,BAS payment (GST net),GST/BAS,,3136.07,Business transaction,222578.55
2025-02-28,Owner drawings,Owner drawings,,7000,Business transaction,215578.55
2025-03-01,Northshore Dental - invoice 1263,Service revenue,2124.9,,Business transaction,217703.45
2025-03-01,Workshop rent - Artarmon,Rent,,6200,Business transaction,211503.45
2025-03-02,Harbourview Apartments - invoice 1255,Service revenue,1441.5,,Business transaction,212944.95
2025-03-02,Kings Cross Hotel - invoice 1260,Service revenue,3504.71,,Business transaction,216449.66
2025-03-02,Reece Plumbing,Materials,,3030.78,Business transaction,213418.88
2025-03-03,St Leonards Physio - invoice 1246,Service revenue,3268.57,,Business transaction,216687.45
2025-03-03,Public liability & fleet insurance,Insurance,,1850,Business transaction,214837.45
2025-03-05,ServiceM8 + Xero + Google Workspace,Software,,480,Business transaction,214357.45
2025-03-06,Northshore Dental - invoice 1241,Installation revenue,3417.34,,Business transaction,217774.79
2025-03-06,Middy's Electrical,Materials,,3257.87,Business transaction,214516.92
2025-03-06,Ampol fleet fuel,Vehicle & fuel,,974.31,Business transaction,213542.61
2025-03-07,St Leonards Physio - monthly retainer,Maintenance contracts,3899.05,,Business transaction,217441.66
2025-03-07,Parramatta Bakehouse - invoice 1254,Service revenue,3631.55,,Business transaction,221073.21
2025-03-07,Chatswood Childcare - invoice 1262,Service revenue,3230.34,,Business transaction,224303.55
2025-03-08,Google Ads,Marketing,,1257.71,Business transaction,223045.84
2025-03-09,St Leonards Physio - invoice 1258,Service revenue,2987.64,,Business transaction,226033.48
2025-03-10,Bunnings Trade,Materials,,4987.87,Business transaction,221045.61
2025-03-10,Vehicle servicing,Vehicle & fuel,,1450,Business transaction,219595.61
2025-03-12,Northshore Dental - invoice 1244,Installation revenue,8423.87,,Business transaction,228019.48
2025-03-12,Electricity & water,Utilities,,555.57,Business transaction,227463.91
2025-03-13,Northshore Dental - invoice 1250,Installation revenue,6060.23,,Business transaction,233524.14
2025-03-14,Parramatta Bakehouse - invoice 1264,Service revenue,2034.84,,Business transaction,235558.98
2025-03-14,Tradelink,Materials,,5347.25,Business transaction,230211.73
2025-03-14,Payroll fortnight A,Payroll,,16179.2,Business transaction,214032.53
2025-03-15,Parramatta Bakehouse - invoice 1256,Service revenue,3030.13,,Business transaction,217062.66
2025-03-15,Subcontractor - refrigeration,Subcontractors,,5824.56,Business transaction,211238.1
2025-03-15,Ampol fleet fuel,Vehicle & fuel,,903.25,Business transaction,210334.85
2025-03-17,Harbourview Apartments - invoice 1245,Service revenue,3383.8,,Business transaction,213718.65
